date,gdp,jgdp,djgdp,oil,joil,djoil,cdop,maxp,jpmax
1970Q4,4938.857,850.4889206892074,-1.0774215023232045,15.4,273.43675094195834,7.410797215372213,65.49259677397475,65.49259677397475,6.021885999305482
1971Q1,5072.996,853.1686849078305,2.679764218623177,15.6,274.72709142554913,1.2903404835907963,66.78293725756555,66.78293725756555,1.2903404835907963
1971Q2,5100.447,853.708346193046,0.5396612852155158,15.6,274.72709142554913,0.0,66.78293725756555,66.78293725756555,0.0
1971Q3,5142.422000000001,854.5279453692101,0.8195991761640471,15.6,274.72709142554913,0.0,66.78293725756555,66.78293725756555,0.0
1971Q4,5154.547000000001,854.7634516741061,0.23550630489603464,15.6,274.72709142554913,0.0,66.78293725756555,66.78293725756555,0.0
1972Q1,5249.337,856.5857061896672,1.8222545155610987,15.4,273.43675094195834,-1.2903404835907963,65.49259677397475,66.78293725756555,0.0
1972Q2,5368.485,858.830102479373,2.244396289705719,15.4,273.43675094195834,0.0,65.49259677397475,66.78293725756555,0.0
1972Q3,5419.184,859.7700529593841,0.9399504800111345,15.6,274.72709142554913,1.2903404835907963,66.78293725756555,66.78293725756555,0.0
1972Q4,5509.926,861.4306471929733,1.6605942335892223,15.6,274.72709142554913,0.0,66.78293725756555,66.78293725756555,0.0
1973Q1,5646.286,863.8753262861705,2.4446790931972373,15.7,275.3660712354262,0.6389798098770711,67.42191706744262,67.42191706744262,0.6389798098770711
1973Q2,5707.755,864.9581055461107,1.0827792599401391,17.1,283.90784635086146,8.541775115435257,75.96369218287788,75.96369218287788,8.541775115435257
1973Q3,5677.738,864.4308192960194,-0.5272862500912652,18.2,290.14215940827495,6.2343130574134875,82.19800524029137,82.19800524029137,6.2343130574134875
1973Q4,5731.632,865.3755585910121,0.9447392949927007,19.9,299.0719731730447,8.929813764769733,91.1278190050611,91.1278190050611,8.929813764769733
1974Q1,5682.353,864.512068649636,-0.8634899413760877,27.5,331.4186004672526,32.346627294207906,123.474446299269,123.474446299269,32.346627294207906
1974Q2,5695.859,864.7494698571938,0.23740120755780936,27.5,331.4186004672526,0.0,123.474446299269,123.474446299269,0.0
1974Q3,5642.025,863.7998322604943,-0.9496375966995174,30.7,342.4262654593151,11.00766499206253,134.48211129133153,134.48211129133153,11.00766499206253
1974Q4,5620.126,863.4109362565239,-0.3888960039704443,30.4,341.4442608412176,-0.9820046180975055,133.50010667323403,134.48211129133153,0.0
